tahun ,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
 10/ 2022,12.05,10.15,11.6,12.3,12.25,13.15,12.9,27.65,27.65,137.5,137.5,137.5,36.4,36.4,25.9,25.9,34.35,36.15,32.6,17.35,14.65,20.4,17.05,14.35,14.9,13.8
 11/ 2022,12.35,10.4,12.0,12.5,12.55,13.35,13.25,32.5,32.5,137.5,137.5,137.5,32.5,32.5,23.4,23.4,34.0,36.0,31.95,17.55,14.65,20.65,17.3,14.35,14.8,13.9
 12/ 2022,12.5,10.45,12.4,12.5,12.85,13.55,13.35,39.5,39.5,137.5,137.5,137.5,36.5,36.5,27.5,27.5,44.5,48.25,40.75,17.85,14.7,21.2,17.7,14.35,14.8,13.9
 01/ 2023,12.55,10.55,12.4,12.6,12.85,13.55,13.4,27.15,27.15,137.5,137.5,137.5,42.9,42.9,29.65,29.65,40.85,44.5,37.15,17.85,14.65,21.2,17.7,14.45,14.9,13.95
 02/ 2023,12.95,11.05,12.8,12.95,13.25,13.8,13.8,30.15,30.15,137.5,137.5,137.5,37.5,37.5,31.9,31.9,42.7,40.65,44.75,19.2,16.0,21.55,18.25,14.6,15.0,14.15
 03/ 2023,12.95,11.15,12.85,13.0,13.3,13.75,13.75,29.75,29.75,137.5,137.5,137.5,38.9,38.9,33.5,33.5,39.0,37.75,40.25,19.3,16.0,21.55,18.5,14.6,15.0,14.15
 04/ 2023,12.95,11.2,12.85,13.0,13.3,13.7,13.75,35.4,35.4,137.5,137.5,137.5,37.75,37.75,36.15,36.15,30.8,34.4,27.2,18.8,16.0,21.45,18.9,14.6,15.05,14.15
 05/ 2023,13.15,11.7,12.9,13.2,13.4,13.85,13.85,37.9,37.9,137.5,137.5,137.5,35.9,35.9,39.4,39.4,25.15,26.9,23.35,19.0,16.0,21.45,19.5,14.65,15.2,14.15
 06/ 2023,13.25,11.7,12.9,13.4,13.6,13.95,14.05,38.75,38.75,137.5,137.5,137.5,44.4,44.4,40.75,40.75,30.2,33.9,26.45,17.55,14.95,20.0,17.7,15.05,15.4,14.7
 07/ 2023,13.2,11.7,12.9,13.4,13.6,13.8,13.75,31.9,31.9,137.5,137.5,137.5,33.9,33.9,40.9,40.9,30.9,35.15,26.65,17.85,15.5,20.3,17.7,14.95,15.3,14.55
 08/ 2023,13.55,12.05,13.0,13.7,14.05,14.15,14.3,33.25,33.25,135.0,135.0,135.0,27.4,27.4,38.15,38.15,28.6,28.15,29.05,17.65,15.25,20.05,17.7,15.0,15.45,14.5
 09/ 2023,14.25,13.05,13.85,14.05,14.65,15.0,15.0,28.0,28.0,135.65,136.25,135.0,23.65,23.65,37.5,37.5,27.55,30.5,24.55,17.15,14.8,19.2,17.5,15.45,15.7,15.2
 10/ 2023,14.45,13.35,14.2,14.2,14.8,15.05,15.1,28.15,28.15,135.65,136.25,135.0,22.0,22.0,35.4,35.4,43.8,42.5,45.0,17.15,15.0,19.25,17.2,15.8,16.25,15.3
 11/ 2023,14.75,13.9,14.85,14.5,14.85,15.1,15.15,26.5,26.5,135.65,136.25,135.0,32.0,32.0,35.25,35.25,68.25,72.65,63.8,17.2,15.5,18.95,17.2,17.1,17.15,17.0
 12/ 2023,14.8,14.0,14.8,14.65,14.9,15.15,15.15,31.9,31.9,135.65,136.25,135.0,36.65,36.65,36.9,36.9,41.55,36.9,46.2,17.0,14.8,18.8,17.45,17.35,17.5,17.2
 01/ 2024,15.0,14.2,15.1,14.85,15.15,15.15,15.45,30.65,30.65,135.65,136.25,135.0,33.5,33.5,38.75,38.75,30.1,33.5,26.65,17.1,15.0,19.0,17.3,17.65,17.9,17.4
