No;I;1;2;3;4;5;6;II;1;III;1;2;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 02/ 2021;13,450;12,150;11,300;13,950;12,750;16,250;14,200;36,400;36,400;128,750;135,000;122,500;45,000;45,000;36,650;36,650;102,500;76,650;128,350;14,950;14,850;15,000;15,000;14,750;15,150;14,350
 03/ 2021;13,400;12,100;11,250;13,950;12,750;16,100;14,200;37,500;37,500;126,650;133,350;120,000;38,350;38,350;35,850;35,850;90,850;63,350;118,350;15,400;15,150;15,500;15,500;14,750;15,150;14,350
 04/ 2021;13,450;12,100;11,200;14,050;12,850;16,200;14,150;37,400;37,400;136,650;143,350;130,000;36,350;36,350;37,500;37,500;55,000;45,000;65,000;15,400;15,150;15,650;15,350;14,400;14,850;14,000
 05/ 2021;13,400;12,050;11,150;14,000;12,800;16,200;14,150;38,150;38,150;148,350;153,350;143,350;34,150;34,150;35,850;35,850;39,150;29,150;49,150;16,050;16,150;16,000;16,000;14,400;14,850;14,000
 06/ 2021;13,400;12,050;11,150;13,950;12,800;16,200;14,150;35,100;35,100;138,350;143,350;133,350;35,850;35,850;34,500;34,500;50,000;40,000;60,000;15,950;15,850;16,000;16,000;14,500;14,850;14,150
 07/ 2021;13,250;11,950;11,050;13,800;12,700;16,000;13,950;31,600;31,600;138,350;143,350;133,350;38,350;38,350;34,000;34,000;49,150;33,350;65,000;15,950;15,850;16,000;16,000;14,650;15,000;14,350
 08/ 2021;13,250;11,950;11,050;13,800;12,650;16,000;13,950;35,750;35,750;138,350;143,350;133,350;32,850;32,850;34,000;34,000;28,350;25,850;30,850;16,650;17,250;16,350;16,400;14,600;15,000;14,150
 09/ 2021;13,250;11,950;11,050;13,800;12,650;16,000;13,950;35,000;35,000;138,350;143,350;133,350;31,150;31,150;33,650;33,650;29,600;28,350;30,850;17,100;17,750;16,650;16,900;14,600;15,000;14,150
 10/ 2021;13,250;11,950;11,050;13,800;12,650;16,000;13,950;36,850;36,850;138,350;143,350;133,350;32,500;32,500;34,150;34,150;35,000;35,000;35,000;18,000;19,000;17,350;17,650;14,400;14,850;14,000
 11/ 2021;13,300;12,050;11,150;13,800;12,700;16,050;14,000;37,100;37,100;128,350;133,350;123,350;28,350;28,350;34,150;34,150;43,350;42,500;44,150;20,050;20,150;19,900;20,100;14,350;14,650;14,000
