No;I;1;2;II;1;III;1;2;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Medium I;Beras Kualitas Super I;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 06/ 2021;10,850;10,350;11,350;28,350;28,350;122,500;122,500;125,000;36,000;36,000;34,150;34,150;87,500;75,000;90,000;18,150;16,650;18,950;19,150;14,600;16,500;14,000
 07/ 2021;11,000;10,650;11,350;24,100;24,100;122,500;122,500;125,000;40,000;40,000;36,650;36,650;59,600;50,000;60,850;17,750;17,650;17,650;18,150;15,250;16,500;14,650
 08/ 2021;10,950;10,600;11,350;21,250;21,250;122,500;122,500;125,000;35,650;35,650;35,500;35,500;40,850;40,000;41,650;18,350;19,100;17,650;18,150;14,600;16,500;14,000
 09/ 2021;11,000;10,650;11,350;24,600;24,600;122,500;122,500;125,000;35,150;35,150;35,500;35,500;45,000;40,000;45,850;18,300;18,900;17,650;18,150;14,400;16,500;13,850
 10/ 2021;11,000;10,650;11,350;27,100;27,100;122,500;122,500;125,000;34,150;34,150;34,150;34,150;39,600;40,000;40,000;23,050;21,850;23,350;23,750;14,650;16,500;14,100
 11/ 2021;10,900;10,650;11,150;28,000;28,000;122,500;122,500;125,000;33,350;33,350;34,150;34,150;40,400;40,000;41,650;23,900;21,650;24,600;25,650;14,650;16,500;14,100
 12/ 2021;10,900;10,650;11,150;28,350;28,350;122,500;122,500;125,000;36,850;36,850;36,150;36,150;90,400;70,000;92,500;25,550;21,650;27,300;27,850;14,650;16,500;14,100
 01/ 2022;11,000;10,650;11,350;28,350;28,350;122,500;122,500;125,000;42,500;42,500;37,850;37,850;38,350;35,000;39,150;24,850;21,750;26,650;25,500;15,200;17,000;14,750
 02/ 2022;11,000;10,650;11,350;28,350;28,350;122,500;122,500;125,000;42,500;42,500;37,850;37,850;38,350;35,000;39,150;24,850;21,750;26,650;25,500;15,200;17,000;14,750
 03/ 2022;11,000;10,650;11,350;28,350;28,350;127,500;127,500;135,000;41,000;41,000;38,000;38,000;57,500;35,000;61,650;29,900;24,650;32,700;35,000;15,450;16,500;15,100
